epoch,step,test/accuracy,test/loss,test/top5_accuracy,train/accuracy,train/loss,train/top5_accuracy,val/accuracy,val/loss,val/top5_accuracy,val_accuracy
0,175,,,,,,,0.8424000144004822,0.4554571211338043,0.9927999973297119,0.8424000144004822
0,175,,,,0.8134666681289673,0.5417982339859009,0.9865999817848206,,,,
1,351,,,,,,,0.8464000225067139,0.43583017587661743,0.9950000047683716,0.8464000225067139
1,351,,,,0.8382222056388855,0.45899006724357605,0.993399977684021,,,,
2,527,,,,,,,0.8497999906539917,0.4322751462459564,0.9940000176429749,0.8497999906539917
2,527,,,,0.8424000144004822,0.44637531042099,0.9939777851104736,,,,
3,703,,,,,,,0.840399980545044,0.45155248045921326,0.995199978351593,0.840399980545044
3,703,,,,0.8446221947669983,0.4384375810623169,0.9941777586936951,,,,
4,879,,,,,,,0.8515999913215637,0.4250604510307312,0.995199978351593,0.8515999913215637
4,879,,,,0.8449777960777283,0.4366251826286316,0.9944888949394226,,,,
5,1055,,,,,,,0.855400025844574,0.4347948133945465,0.9937999844551086,0.855400025844574
5,1055,,,,0.8470888733863831,0.43283021450042725,0.994688868522644,,,,
6,1231,,,,,,,0.8543999791145325,0.4094012975692749,0.9954000115394592,0.8543999791145325
6,1231,,,,0.8481777906417847,0.4264431297779083,0.9948889017105103,,,,
7,1407,,,,,,,0.8501999974250793,0.4199559688568115,0.9954000115394592,0.8501999974250793
7,1407,,,,0.8465555310249329,0.42851799726486206,0.9948889017105103,,,,
8,1583,,,,,,,0.857200026512146,0.4152446687221527,0.9954000115394592,0.857200026512146
8,1583,,,,0.8468666672706604,0.42414799332618713,0.9951555728912354,,,,
9,1759,,,,,,,0.8557999730110168,0.4099922478199005,0.9955999851226807,0.8557999730110168
9,1759,,,,0.84862220287323,0.4245312213897705,0.9947555661201477,,,,
10,1935,,,,,,,0.8568000197410583,0.41024503111839294,0.9954000115394592,0.8568000197410583
10,1935,,,,0.8502444624900818,0.4205884039402008,0.994866669178009,,,,
11,2111,,,,,,,0.8539999723434448,0.41668587923049927,0.9959999918937683,0.8539999723434448
11,2111,,,,0.8531777858734131,0.4145512878894806,0.9950888752937317,,,,
12,2287,,,,,,,0.8501999974250793,0.4247284233570099,0.9947999715805054,0.8501999974250793
12,2287,,,,0.8524888753890991,0.41888371109962463,0.9947111010551453,,,,
13,2463,,,,,,,0.8600000143051147,0.40352463722229004,0.995199978351593,0.8600000143051147
13,2463,,,,0.8510444164276123,0.4158145487308502,0.9952222108840942,,,,
14,2639,,,,,,,0.8569999933242798,0.4073680341243744,0.9958000183105469,0.8569999933242798
14,2639,,,,0.8541555404663086,0.4124056398868561,0.9949555397033691,,,,
15,2815,,,,,,,0.86080002784729,0.4042622447013855,0.9959999918937683,0.86080002784729
15,2815,,,,0.8526444435119629,0.4125072956085205,0.9953555464744568,,,,
16,2991,,,,,,,0.8574000000953674,0.40762248635292053,0.9955999851226807,0.8574000000953674
16,2991,,,,0.8543999791145325,0.40933120250701904,0.9955111145973206,,,,
17,3167,,,,,,,0.8593999743461609,0.4064021706581116,0.9959999918937683,0.8593999743461609
17,3167,,,,0.8526666760444641,0.41250208020210266,0.995377779006958,,,,
18,3343,,,,,,,0.8600000143051147,0.4005950093269348,0.9958000183105469,0.8600000143051147
18,3343,,,,0.8535555601119995,0.40886878967285156,0.995199978351593,,,,
19,3519,,,,,,,0.8604000210762024,0.4021078050136566,0.9947999715805054,0.8604000210762024
19,3519,,,,0.8546888828277588,0.40733039379119873,0.995199978351593,,,,
20,3695,,,,,,,0.8636000156402588,0.4000612199306488,0.9950000047683716,0.8636000156402588
20,3695,,,,0.854888916015625,0.40477895736694336,0.9957555532455444,,,,
21,3871,,,,,,,0.8574000000953674,0.4077094495296478,0.995199978351593,0.8574000000953674
21,3871,,,,0.8550000190734863,0.40777650475502014,0.995377779006958,,,,
22,4047,,,,,,,0.8586000204086304,0.4068829417228699,0.9947999715805054,0.8586000204086304
22,4047,,,,0.8570888638496399,0.40311211347579956,0.9955333471298218,,,,
23,4223,,,,,,,0.8574000000953674,0.4101714789867401,0.9955999851226807,0.8574000000953674
23,4223,,,,0.8568221926689148,0.40312477946281433,0.9959111213684082,,,,
24,4399,,,,,,,0.8550000190734863,0.4176425635814667,0.995199978351593,0.8550000190734863
24,4399,,,,0.8571777939796448,0.4015716016292572,0.9958444237709045,,,,
25,4575,,,,,,,0.8586000204086304,0.40057259798049927,0.9962000250816345,0.8586000204086304
25,4575,,,,0.8554888963699341,0.4037505090236664,0.9956222176551819,,,,
26,4751,,,,,,,0.8601999878883362,0.40118154883384705,0.995199978351593,0.8601999878883362
26,4751,,,,0.8567110896110535,0.40171149373054504,0.9957333207130432,,,,
27,4927,,,,,,,0.8605999946594238,0.3984731435775757,0.9955999851226807,0.8605999946594238
27,4927,,,,0.8579555749893188,0.40040507912635803,0.9954222440719604,,,,
28,5103,,,,,,,0.8592000007629395,0.40421757102012634,0.9959999918937683,0.8592000007629395
28,5103,,,,0.8570444583892822,0.4011789560317993,0.995711088180542,,,,
29,5279,,,,,,,0.8611999750137329,0.40165916085243225,0.9959999918937683,0.8611999750137329
29,5279,,,,0.8581777811050415,0.3994525969028473,0.9955777525901794,,,,
30,5455,,,,,,,0.857200026512146,0.4015411138534546,0.995199978351593,0.857200026512146
30,5455,,,,0.857355535030365,0.3994884192943573,0.9955111145973206,,,,
31,5631,,,,,,,0.8646000027656555,0.3921542465686798,0.9959999918937683,0.8646000027656555
31,5631,,,,0.8580222129821777,0.39762479066848755,0.9958222508430481,,,,
32,5807,,,,,,,0.8601999878883362,0.4035249650478363,0.9962000250816345,0.8601999878883362
32,5807,,,,0.8567110896110535,0.3994993567466736,0.9961110949516296,,,,
33,5983,,,,,,,0.8596000075340271,0.3959171175956726,0.9958000183105469,0.8596000075340271
33,5983,,,,0.85753333568573,0.39552581310272217,0.9962000250816345,,,,
34,6159,,,,,,,0.8636000156402588,0.39396485686302185,0.9958000183105469,0.8636000156402588
34,6159,,,,0.8587555289268494,0.3966423273086548,0.995711088180542,,,,
35,6335,,,,,,,0.8586000204086304,0.3959811329841614,0.9947999715805054,0.8586000204086304
35,6335,,,,0.8586888909339905,0.3946687579154968,0.9959111213684082,,,,
36,6511,,,,,,,0.86080002784729,0.39572715759277344,0.9947999715805054,0.86080002784729
36,6511,,,,0.8583333492279053,0.39826661348342896,0.9959111213684082,,,,
37,6687,,,,,,,0.859000027179718,0.3991501033306122,0.9954000115394592,0.859000027179718
37,6687,,,,0.8584222197532654,0.39549389481544495,0.9960222244262695,,,,
38,6863,,,,,,,0.8605999946594238,0.3917561173439026,0.9958000183105469,0.8605999946594238
38,6863,,,,0.8602889180183411,0.39167720079421997,0.9956889152526855,,,,
39,7039,,,,,,,0.8586000204086304,0.3967476785182953,0.9959999918937683,0.8586000204086304
39,7039,,,,0.8590444326400757,0.39053967595100403,0.9957777857780457,,,,
40,7215,,,,,,,0.8633999824523926,0.3949703872203827,0.9959999918937683,0.8633999824523926
40,7215,,,,0.8592222332954407,0.39072951674461365,0.9961777925491333,,,,
41,7391,,,,,,,0.8655999898910522,0.39252912998199463,0.9965999722480774,0.8655999898910522
41,7391,,,,0.8593778014183044,0.39370274543762207,0.9960222244262695,,,,
42,7567,,,,,,,0.8623999953269958,0.39918118715286255,0.9965999722480774,0.8623999953269958
42,7567,,,,0.8598222136497498,0.3910525143146515,0.9959111213684082,,,,
43,7743,,,,,,,0.8628000020980835,0.3935089111328125,0.9954000115394592,0.8628000020980835
43,7743,,,,0.8602889180183411,0.3896348178386688,0.9962444305419922,,,,
44,7919,,,,,,,0.8628000020980835,0.3898429572582245,0.9955999851226807,0.8628000020980835
44,7919,,,,0.8605333566665649,0.3891775608062744,0.9961777925491333,,,,
45,8095,,,,,,,0.8655999898910522,0.3920055031776428,0.9955999851226807,0.8655999898910522
45,8095,,,,0.8597333431243896,0.3916546404361725,0.9955999851226807,,,,
46,8271,,,,,,,0.8614000082015991,0.3965259790420532,0.995199978351593,0.8614000082015991
46,8271,,,,0.8621110916137695,0.3872643709182739,0.9960444569587708,,,,
47,8447,,,,,,,0.8636000156402588,0.39646339416503906,0.9962000250816345,0.8636000156402588
47,8447,,,,0.8613333106040955,0.386459082365036,0.9960444569587708,,,,
48,8623,,,,,,,0.8601999878883362,0.39479246735572815,0.9944000244140625,0.8601999878883362
48,8623,,,,0.8602666854858398,0.38939765095710754,0.9960444569587708,,,,
49,8799,,,,,,,0.8618000149726868,0.40007323026657104,0.996399998664856,0.8618000149726868
49,8799,,,,0.8609777688980103,0.3857164978981018,0.9962444305419922,,,,
50,8975,,,,,,,0.8622000217437744,0.38938605785369873,0.9954000115394592,0.8622000217437744
50,8975,,,,0.8618888854980469,0.3834514319896698,0.9962000250816345,,,,
