epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
0,174,96.46659851074219,-96.46659851074219,,,,
1,349,140.59786987304688,-140.59786987304688,,,,
2,524,165.377685546875,-165.377685546875,,,,
3,699,176.792236328125,-176.792236328125,,,,
4,874,184.31155395507812,-184.31155395507812,,,,
5,1049,189.93536376953125,-189.93536376953125,,,,
6,1224,194.90419006347656,-194.90419006347656,,,,
7,1399,198.68946838378906,-198.68946838378906,,,,
8,1574,203.24932861328125,-203.24932861328125,,,,
9,1749,,,5.617702960968018,205.74429321289062,-205.74429321289062,205.74429321289062
9,1749,207.05386352539062,-207.05386352539062,,,,
10,1924,211.23973083496094,-211.23973083496094,,,,
11,2099,216.43341064453125,-216.43341064453125,,,,
12,2274,221.244873046875,-221.244873046875,,,,
13,2449,226.2504425048828,-226.2504425048828,,,,
14,2624,229.70152282714844,-229.70152282714844,,,,
15,2799,232.9893341064453,-232.9893341064453,,,,
16,2974,236.9952392578125,-236.9952392578125,,,,
17,3149,238.95120239257812,-238.95120239257812,,,,
18,3324,241.4247283935547,-241.4247283935547,,,,
19,3499,,,4.67505407333374,238.4534454345703,-238.4534454345703,238.4534454345703
19,3499,244.3435516357422,-244.3435516357422,,,,
20,3674,245.7940673828125,-245.7940673828125,,,,
21,3849,247.92823791503906,-247.92823791503906,,,,
22,4024,249.206787109375,-249.206787109375,,,,
23,4199,250.33645629882812,-250.33645629882812,,,,
24,4374,251.8932342529297,-251.8932342529297,,,,
25,4549,253.2646026611328,-253.2646026611328,,,,
26,4724,254.26890563964844,-254.26890563964844,,,,
27,4899,255.20814514160156,-255.20814514160156,,,,
28,5074,256.0975341796875,-256.0975341796875,,,,
29,5249,,,4.437703609466553,251.9320526123047,-251.9320526123047,251.9320526123047
29,5249,257.0346374511719,-257.0346374511719,,,,
30,5424,257.7752990722656,-257.7752990722656,,,,
31,5599,258.4810791015625,-258.4810791015625,,,,
32,5774,259.4927062988281,-259.4927062988281,,,,
33,5949,259.6445007324219,-259.6445007324219,,,,
34,6124,261.0166931152344,-261.0166931152344,,,,
35,6299,261.5154724121094,-261.5154724121094,,,,
36,6474,262.242919921875,-262.242919921875,,,,
37,6649,262.27471923828125,-262.27471923828125,,,,
38,6824,263.2883605957031,-263.2883605957031,,,,
39,6999,,,4.346722602844238,258.4788513183594,-258.4788513183594,258.4788513183594
39,6999,263.3073425292969,-263.3073425292969,,,,
40,7174,264.1941833496094,-264.1941833496094,,,,
41,7349,264.4732666015625,-264.4732666015625,,,,
42,7524,265.291259765625,-265.291259765625,,,,
43,7699,266.03839111328125,-266.03839111328125,,,,
44,7874,265.8608093261719,-265.8608093261719,,,,
45,8049,266.1832580566406,-266.1832580566406,,,,
46,8224,267.07684326171875,-267.07684326171875,,,,
47,8399,267.1487731933594,-267.1487731933594,,,,
48,8574,267.8879089355469,-267.8879089355469,,,,
49,8749,,,4.298087120056152,261.78741455078125,-261.78741455078125,261.78741455078125
49,8749,268.33990478515625,-268.33990478515625,,,,
50,8924,268.6761169433594,-268.6761169433594,,,,
51,9099,268.8521423339844,-268.8521423339844,,,,
52,9274,269.1842346191406,-269.1842346191406,,,,
53,9449,269.6619567871094,-269.6619567871094,,,,
54,9624,269.8714599609375,-269.8714599609375,,,,
55,9799,270.1189270019531,-270.1189270019531,,,,
56,9974,270.9659118652344,-270.9659118652344,,,,
57,10149,270.9440002441406,-270.9440002441406,,,,
58,10324,271.0470886230469,-271.0470886230469,,,,
59,10499,,,4.261197090148926,265.82623291015625,-265.82623291015625,265.82623291015625
59,10499,271.3753662109375,-271.3753662109375,,,,
60,10674,272.2313232421875,-272.2313232421875,,,,
61,10849,272.1236267089844,-272.1236267089844,,,,
62,11024,273.0259704589844,-273.0259704589844,,,,
63,11199,272.8269348144531,-272.8269348144531,,,,
64,11374,273.3089599609375,-273.3089599609375,,,,
65,11549,273.49676513671875,-273.49676513671875,,,,
66,11724,273.8156433105469,-273.8156433105469,,,,
67,11899,273.897216796875,-273.897216796875,,,,
68,12074,274.1370849609375,-274.1370849609375,,,,
69,12249,,,4.209521293640137,268.0594482421875,-268.0594482421875,268.0594482421875
69,12249,274.5208740234375,-274.5208740234375,,,,
70,12424,274.5623474121094,-274.5623474121094,,,,
71,12599,274.8791809082031,-274.8791809082031,,,,
72,12774,275.2881164550781,-275.2881164550781,,,,
73,12949,275.2086486816406,-275.2086486816406,,,,
74,13124,275.88665771484375,-275.88665771484375,,,,
75,13299,275.9372253417969,-275.9372253417969,,,,
76,13474,275.9111022949219,-275.9111022949219,,,,
77,13649,276.3449401855469,-276.3449401855469,,,,
78,13824,276.89971923828125,-276.89971923828125,,,,
