epoch,step,train/flat_trace_score,train/loss,val/closure_defect_frobenius,val/flat_trace_score,val/loss,val_score
0,174,19.82912826538086,-19.82912826538086,,,,
1,349,32.67963409423828,-32.67963409423828,,,,
2,524,44.88901138305664,-44.88901138305664,,,,
3,699,51.0699348449707,-51.0699348449707,,,,
4,874,55.78221130371094,-55.78221130371094,,,,
5,1049,59.48141860961914,-59.48141860961914,,,,
6,1224,62.31297302246094,-62.31297302246094,,,,
7,1399,64.66187286376953,-64.66187286376953,,,,
8,1574,66.7330551147461,-66.7330551147461,,,,
9,1749,,,4.713573455810547,68.86734008789062,-68.86734008789062,68.86734008789062
9,1749,68.63011932373047,-68.63011932373047,,,,
10,1924,70.28822326660156,-70.28822326660156,,,,
11,2099,71.95259094238281,-71.95259094238281,,,,
12,2274,73.55718231201172,-73.55718231201172,,,,
13,2449,75.1123046875,-75.1123046875,,,,
14,2624,76.31104278564453,-76.31104278564453,,,,
15,2799,77.16844177246094,-77.16844177246094,,,,
16,2974,78.2392578125,-78.2392578125,,,,
17,3149,78.88272857666016,-78.88272857666016,,,,
18,3324,79.73441314697266,-79.73441314697266,,,,
19,3499,,,4.903781414031982,78.45268249511719,-78.45268249511719,78.45268249511719
19,3499,80.32516479492188,-80.32516479492188,,,,
20,3674,81.00603485107422,-81.00603485107422,,,,
21,3849,81.49042510986328,-81.49042510986328,,,,
22,4024,82.02690887451172,-82.02690887451172,,,,
23,4199,82.55695343017578,-82.55695343017578,,,,
24,4374,82.93597412109375,-82.93597412109375,,,,
25,4549,83.49049377441406,-83.49049377441406,,,,
26,4724,83.87743377685547,-83.87743377685547,,,,
27,4899,84.3034439086914,-84.3034439086914,,,,
28,5074,84.6209945678711,-84.6209945678711,,,,
29,5249,,,4.971164703369141,82.30606842041016,-82.30606842041016,82.30606842041016
29,5249,84.98847961425781,-84.98847961425781,,,,
30,5424,85.2840805053711,-85.2840805053711,,,,
31,5599,85.69303894042969,-85.69303894042969,,,,
32,5774,86.01563262939453,-86.01563262939453,,,,
33,5949,86.34188079833984,-86.34188079833984,,,,
34,6124,86.5208740234375,-86.5208740234375,,,,
35,6299,86.87997436523438,-86.87997436523438,,,,
36,6474,87.21260833740234,-87.21260833740234,,,,
37,6649,87.42133331298828,-87.42133331298828,,,,
38,6824,87.74649810791016,-87.74649810791016,,,,
39,6999,,,5.018806457519531,84.58467864990234,-84.58467864990234,84.58467864990234
39,6999,87.98896026611328,-87.98896026611328,,,,
40,7174,88.27978515625,-88.27978515625,,,,
41,7349,88.41997528076172,-88.41997528076172,,,,
42,7524,88.8028793334961,-88.8028793334961,,,,
43,7699,88.90288543701172,-88.90288543701172,,,,
44,7874,89.18439483642578,-89.18439483642578,,,,
45,8049,89.38345336914062,-89.38345336914062,,,,
46,8224,89.46144104003906,-89.46144104003906,,,,
47,8399,89.87995910644531,-89.87995910644531,,,,
48,8574,90.08231353759766,-90.08231353759766,,,,
49,8749,,,5.063852787017822,85.93707275390625,-85.93707275390625,85.93707275390625
49,8749,90.27062225341797,-90.27062225341797,,,,
50,8924,90.41140747070312,-90.41140747070312,,,,
51,9099,90.61724090576172,-90.61724090576172,,,,
52,9274,90.88966369628906,-90.88966369628906,,,,
53,9449,91.08513641357422,-91.08513641357422,,,,
54,9624,91.18065643310547,-91.18065643310547,,,,
55,9799,91.42405700683594,-91.42405700683594,,,,
56,9974,91.61433410644531,-91.61433410644531,,,,
57,10149,91.66764831542969,-91.66764831542969,,,,
58,10324,91.93180084228516,-91.93180084228516,,,,
59,10499,,,5.0636444091796875,87.44322204589844,-87.44322204589844,87.44322204589844
59,10499,92.05514526367188,-92.05514526367188,,,,
60,10674,92.19451141357422,-92.19451141357422,,,,
61,10849,92.40064239501953,-92.40064239501953,,,,
62,11024,92.48246765136719,-92.48246765136719,,,,
63,11199,92.55821990966797,-92.55821990966797,,,,
64,11374,92.89051055908203,-92.89051055908203,,,,
65,11549,92.93571472167969,-92.93571472167969,,,,
66,11724,93.03154754638672,-93.03154754638672,,,,
67,11899,93.42198181152344,-93.42198181152344,,,,
68,12074,93.48278045654297,-93.48278045654297,,,,
69,12249,,,5.094236373901367,88.32765197753906,-88.32765197753906,88.32765197753906
69,12249,93.47083282470703,-93.47083282470703,,,,
70,12424,93.65152740478516,-93.65152740478516,,,,
71,12599,93.73490905761719,-93.73490905761719,,,,
72,12774,93.9713363647461,-93.9713363647461,,,,
73,12949,94.14441680908203,-94.14441680908203,,,,
74,13124,94.16080474853516,-94.16080474853516,,,,
75,13299,94.25761413574219,-94.25761413574219,,,,
76,13474,94.52876281738281,-94.52876281738281,,,,
77,13649,94.5911865234375,-94.5911865234375,,,,
78,13824,94.6164321899414,-94.6164321899414,,,,
79,13999,,,5.088711261749268,88.70819091796875,-88.70819091796875,88.70819091796875
79,13999,94.91476440429688,-94.91476440429688,,,,
80,14174,94.99503326416016,-94.99503326416016,,,,
81,14349,95.19060516357422,-95.19060516357422,,,,
82,14524,95.103271484375,-95.103271484375,,,,
83,14699,95.27705383300781,-95.27705383300781,,,,
84,14874,95.30203247070312,-95.30203247070312,,,,
85,15049,95.68412780761719,-95.68412780761719,,,,
86,15224,95.7463607788086,-95.7463607788086,,,,
87,15399,95.7027587890625,-95.7027587890625,,,,
88,15574,95.94232940673828,-95.94232940673828,,,,
89,15749,,,5.1142377853393555,90.03131103515625,-90.03131103515625,90.03131103515625
89,15749,95.92996978759766,-95.92996978759766,,,,
90,15924,96.0709228515625,-96.0709228515625,,,,
91,16099,96.20329284667969,-96.20329284667969,,,,
92,16274,96.29983520507812,-96.29983520507812,,,,
93,16449,96.4705810546875,-96.4705810546875,,,,
94,16624,96.69441223144531,-96.69441223144531,,,,
95,16799,96.53839111328125,-96.53839111328125,,,,
96,16974,96.74481201171875,-96.74481201171875,,,,
97,17149,97.03237915039062,-97.03237915039062,,,,
98,17324,97.02668762207031,-97.02668762207031,,,,
99,17499,,,5.111087322235107,90.03343200683594,-90.03343200683594,90.03343200683594
99,17499,97.0384521484375,-97.0384521484375,,,,
100,17674,97.28561401367188,-97.28561401367188,,,,
101,17849,97.39236450195312,-97.39236450195312,,,,
102,18024,97.43246459960938,-97.43246459960938,,,,
103,18199,97.56468963623047,-97.56468963623047,,,,
104,18374,97.53045654296875,-97.53045654296875,,,,
105,18549,97.8165512084961,-97.8165512084961,,,,
106,18724,97.71574401855469,-97.71574401855469,,,,
107,18899,98.0219955444336,-98.0219955444336,,,,
108,19074,98.1189193725586,-98.1189193725586,,,,
109,19249,,,5.114838123321533,90.75078582763672,-90.75078582763672,90.75078582763672
109,19249,98.21515655517578,-98.21515655517578,,,,
110,19424,98.29193115234375,-98.29193115234375,,,,
111,19599,98.4976577758789,-98.4976577758789,,,,
112,19774,98.52582550048828,-98.52582550048828,,,,
113,19949,98.65711975097656,-98.65711975097656,,,,
114,20124,98.80030059814453,-98.80030059814453,,,,
115,20299,98.78213500976562,-98.78213500976562,,,,
116,20474,98.95608520507812,-98.95608520507812,,,,
117,20649,99.0997543334961,-99.0997543334961,,,,
118,20824,99.17922973632812,-99.17922973632812,,,,
119,20999,,,5.100424289703369,90.98702239990234,-90.98702239990234,90.98702239990234
119,20999,99.26231384277344,-99.26231384277344,,,,
120,21174,99.28319549560547,-99.28319549560547,,,,
121,21349,99.54209899902344,-99.54209899902344,,,,
122,21524,99.62808227539062,-99.62808227539062,,,,
123,21699,99.61111450195312,-99.61111450195312,,,,
124,21874,99.78271484375,-99.78271484375,,,,
125,22049,99.87562561035156,-99.87562561035156,,,,
126,22224,100.04217529296875,-100.04217529296875,,,,
127,22399,99.98345184326172,-99.98345184326172,,,,
128,22574,100.20832824707031,-100.20832824707031,,,,
129,22749,,,5.126914978027344,91.42987060546875,-91.42987060546875,91.42987060546875
129,22749,100.40543365478516,-100.40543365478516,,,,
130,22924,100.32518005371094,-100.32518005371094,,,,
