epoch,step,test/accuracy,test/loss,test/top5_accuracy,train/accuracy,train/loss,train/top5_accuracy,val/accuracy,val/loss,val/top5_accuracy,val_accuracy
0,175,,,,,,,0.4731999933719635,1.953529715538025,0.7742000222206116,0.4731999933719635
0,175,,,,0.4000888764858246,2.3772664070129395,0.7012444734573364,,,,
1,351,,,,,,,0.4966000020503998,1.841469168663025,0.7978000044822693,0.4966000020503998
1,351,,,,0.47904443740844727,1.8994300365447998,0.7921110987663269,,,,
2,527,,,,,,,0.5045999884605408,1.794717788696289,0.8073999881744385,0.5045999884605408
2,527,,,,0.5037555694580078,1.8011393547058105,0.8086222410202026,,,,
3,703,,,,,,,0.5126000046730042,1.761880874633789,0.8130000233650208,0.5126000046730042
3,703,,,,0.5145778059959412,1.7502713203430176,0.8177333474159241,,,,
4,879,,,,,,,0.5185999870300293,1.7514519691467285,0.8130000233650208,0.5185999870300293
4,879,,,,0.5226444602012634,1.7163609266281128,0.8241333365440369,,,,
5,1055,,,,,,,0.5266000032424927,1.7056294679641724,0.8259999752044678,0.5266000032424927
5,1055,,,,0.5306666493415833,1.6807971000671387,0.8287777900695801,,,,
6,1231,,,,,,,0.5314000248908997,1.6995007991790771,0.823199987411499,0.5314000248908997
6,1231,,,,0.5388444662094116,1.6532381772994995,0.8354666829109192,,,,
7,1407,,,,,,,0.5333999991416931,1.6853644847869873,0.8245999813079834,0.5333999991416931
7,1407,,,,0.5408889055252075,1.6332182884216309,0.8379111289978027,,,,
8,1583,,,,,,,0.5270000100135803,1.6988861560821533,0.8252000212669373,0.5270000100135803
8,1583,,,,0.5467110872268677,1.6185293197631836,0.8401777744293213,,,,
9,1759,,,,,,,0.5343999862670898,1.6814086437225342,0.8317999839782715,0.5343999862670898
9,1759,,,,0.5493999719619751,1.5998387336730957,0.8424000144004822,,,,
10,1935,,,,,,,0.5414000153541565,1.6739484071731567,0.8226000070571899,0.5414000153541565
10,1935,,,,0.5529333353042603,1.5867273807525635,0.8461111187934875,,,,
11,2111,,,,,,,0.54339998960495,1.6549313068389893,0.8302000164985657,0.54339998960495
11,2111,,,,0.5559555292129517,1.5739984512329102,0.847955584526062,,,,
12,2287,,,,,,,0.5419999957084656,1.6615675687789917,0.8266000151634216,0.5419999957084656
12,2287,,,,0.560533344745636,1.5616017580032349,0.8493333458900452,,,,
13,2463,,,,,,,0.5422000288963318,1.6567128896713257,0.8320000171661377,0.5422000288963318
13,2463,,,,0.5627555847167969,1.5510410070419312,0.8517333269119263,,,,
14,2639,,,,,,,0.5472000241279602,1.6481504440307617,0.8324000239372253,0.5472000241279602
14,2639,,,,0.566444456577301,1.537716031074524,0.854377806186676,,,,
15,2815,,,,,,,0.5447999835014343,1.6430259943008423,0.829800009727478,0.5447999835014343
15,2815,,,,0.5675777792930603,1.530662178993225,0.854377806186676,,,,
16,2991,,,,,,,0.5475999712944031,1.6550978422164917,0.8284000158309937,0.5475999712944031
