epoch,step,train/flat_trace_score,train/loss,val/closure_defect_frobenius,val/flat_trace_score,val/loss,val_score
0,116,56.81577682495117,-56.81577682495117,,,,
1,233,64.78255462646484,-64.78255462646484,,,,
2,350,67.55972290039062,-67.55972290039062,,,,
3,467,70.43347930908203,-70.43347930908203,,,,
4,584,73.92021942138672,-73.92021942138672,,,,
5,701,76.51677703857422,-76.51677703857422,,,,
6,818,78.83480072021484,-78.83480072021484,,,,
7,935,80.78812408447266,-80.78812408447266,,,,
8,1052,81.90838623046875,-81.90838623046875,,,,
9,1169,,,4.501126766204834,82.90865325927734,-82.90865325927734,82.90865325927734
9,1169,83.52670288085938,-83.52670288085938,,,,
10,1286,84.22200012207031,-84.22200012207031,,,,
11,1403,85.51811218261719,-85.51811218261719,,,,
12,1520,86.53463745117188,-86.53463745117188,,,,
13,1637,87.52188873291016,-87.52188873291016,,,,
14,1754,88.20807647705078,-88.20807647705078,,,,
15,1871,89.25603485107422,-89.25603485107422,,,,
16,1988,90.05306243896484,-90.05306243896484,,,,
17,2105,90.75602722167969,-90.75602722167969,,,,
18,2222,91.31596374511719,-91.31596374511719,,,,
19,2339,,,4.682986259460449,90.76437377929688,-90.76437377929688,90.76437377929688
19,2339,91.71007537841797,-91.71007537841797,,,,
20,2456,92.23160552978516,-92.23160552978516,,,,
21,2573,92.93879699707031,-92.93879699707031,,,,
22,2690,92.87963104248047,-92.87963104248047,,,,
23,2807,93.63150024414062,-93.63150024414062,,,,
24,2924,93.72674560546875,-93.72674560546875,,,,
25,3041,94.2241439819336,-94.2241439819336,,,,
26,3158,94.51312255859375,-94.51312255859375,,,,
27,3275,94.88141632080078,-94.88141632080078,,,,
28,3392,95.06243133544922,-95.06243133544922,,,,
29,3509,,,4.741034984588623,94.19329833984375,-94.19329833984375,94.19329833984375
29,3509,95.25778198242188,-95.25778198242188,,,,
30,3626,95.68803405761719,-95.68803405761719,,,,
31,3743,95.80228424072266,-95.80228424072266,,,,
32,3860,96.16756439208984,-96.16756439208984,,,,
33,3977,96.17471313476562,-96.17471313476562,,,,
34,4094,96.4239273071289,-96.4239273071289,,,,
35,4211,96.69842529296875,-96.69842529296875,,,,
36,4328,96.71752166748047,-96.71752166748047,,,,
37,4445,97.10459899902344,-97.10459899902344,,,,
38,4562,97.06006622314453,-97.06006622314453,,,,
39,4679,,,4.777238845825195,95.70238494873047,-95.70238494873047,95.70238494873047
39,4679,97.378173828125,-97.378173828125,,,,
40,4796,97.57561492919922,-97.57561492919922,,,,
41,4913,97.8025894165039,-97.8025894165039,,,,
42,5030,97.77507019042969,-97.77507019042969,,,,
43,5147,97.73575592041016,-97.73575592041016,,,,
44,5264,97.97631072998047,-97.97631072998047,,,,
45,5381,98.25611114501953,-98.25611114501953,,,,
46,5498,98.30768585205078,-98.30768585205078,,,,
47,5615,98.4942398071289,-98.4942398071289,,,,
48,5732,98.62455749511719,-98.62455749511719,,,,
49,5849,,,4.804043292999268,96.97002410888672,-96.97002410888672,96.97002410888672
49,5849,98.72602081298828,-98.72602081298828,,,,
50,5966,98.92740631103516,-98.92740631103516,,,,
51,6083,99.01400756835938,-99.01400756835938,,,,
52,6200,99.09039306640625,-99.09039306640625,,,,
53,6317,99.15580749511719,-99.15580749511719,,,,
54,6434,99.24950408935547,-99.24950408935547,,,,
55,6551,99.4678955078125,-99.4678955078125,,,,
56,6668,99.6044921875,-99.6044921875,,,,
57,6785,99.69308471679688,-99.69308471679688,,,,
58,6902,99.46839904785156,-99.46839904785156,,,,
59,7019,,,4.827462673187256,97.9105224609375,-97.9105224609375,97.9105224609375
59,7019,99.88910675048828,-99.88910675048828,,,,
60,7136,99.73805236816406,-99.73805236816406,,,,
61,7253,100.12321472167969,-100.12321472167969,,,,
62,7370,100.21761322021484,-100.21761322021484,,,,
63,7487,100.1869888305664,-100.1869888305664,,,,
64,7604,100.28903198242188,-100.28903198242188,,,,
65,7721,100.31060028076172,-100.31060028076172,,,,
66,7838,100.4925308227539,-100.4925308227539,,,,
67,7955,100.7452621459961,-100.7452621459961,,,,
68,8072,100.63666534423828,-100.63666534423828,,,,
69,8189,,,4.845471382141113,98.71788787841797,-98.71788787841797,98.71788787841797
69,8189,100.6202392578125,-100.6202392578125,,,,
70,8306,100.82251739501953,-100.82251739501953,,,,
71,8423,100.96761322021484,-100.96761322021484,,,,
72,8540,100.85741424560547,-100.85741424560547,,,,
73,8657,101.1070556640625,-101.1070556640625,,,,
74,8774,101.14231872558594,-101.14231872558594,,,,
75,8891,101.2892074584961,-101.2892074584961,,,,
76,9008,101.42845916748047,-101.42845916748047,,,,
77,9125,101.46854400634766,-101.46854400634766,,,,
78,9242,101.52594757080078,-101.52594757080078,,,,
79,9359,,,4.8810224533081055,99.11532592773438,-99.11532592773438,99.11532592773438
79,9359,101.46456146240234,-101.46456146240234,,,,
80,9476,101.64380645751953,-101.64380645751953,,,,
81,9593,101.70042419433594,-101.70042419433594,,,,
82,9710,101.71330261230469,-101.71330261230469,,,,
83,9827,101.81585693359375,-101.81585693359375,,,,
84,9944,101.83027648925781,-101.83027648925781,,,,
85,10061,102.06964111328125,-102.06964111328125,,,,
86,10178,102.21004486083984,-102.21004486083984,,,,
87,10295,101.99991607666016,-101.99991607666016,,,,
88,10412,102.30847930908203,-102.30847930908203,,,,
