epoch,step,train/edge_trace_sum,train/loss,val/closure_defect_frobenius,val/edge_trace_sum,val/loss,val_score
0,116,59.09965133666992,-59.09965133666992,,,,
1,233,84.0469741821289,-84.0469741821289,,,,
2,350,103.16527557373047,-103.16527557373047,,,,
3,467,114.9186019897461,-114.9186019897461,,,,
4,584,122.93636322021484,-122.93636322021484,,,,
5,701,128.9792938232422,-128.9792938232422,,,,
6,818,133.97264099121094,-133.97264099121094,,,,
7,935,139.2279510498047,-139.2279510498047,,,,
8,1052,144.07308959960938,-144.07308959960938,,,,
9,1169,,,4.761851787567139,148.12033081054688,-148.12033081054688,148.12033081054688
9,1169,148.17950439453125,-148.17950439453125,,,,
10,1286,151.94129943847656,-151.94129943847656,,,,
11,1403,155.56541442871094,-155.56541442871094,,,,
12,1520,158.4535369873047,-158.4535369873047,,,,
13,1637,161.17794799804688,-161.17794799804688,,,,
14,1754,163.58761596679688,-163.58761596679688,,,,
15,1871,165.62803649902344,-165.62803649902344,,,,
16,1988,167.2022247314453,-167.2022247314453,,,,
17,2105,168.84608459472656,-168.84608459472656,,,,
18,2222,170.2100830078125,-170.2100830078125,,,,
19,2339,,,4.43453311920166,168.72689819335938,-168.72689819335938,168.72689819335938
19,2339,171.51976013183594,-171.51976013183594,,,,
20,2456,172.677001953125,-172.677001953125,,,,
21,2573,173.2820281982422,-173.2820281982422,,,,
22,2690,174.470703125,-174.470703125,,,,
23,2807,175.0004119873047,-175.0004119873047,,,,
24,2924,176.3547821044922,-176.3547821044922,,,,
25,3041,177.4207305908203,-177.4207305908203,,,,
26,3158,177.65066528320312,-177.65066528320312,,,,
27,3275,178.43899536132812,-178.43899536132812,,,,
28,3392,179.0006561279297,-179.0006561279297,,,,
29,3509,,,4.327290058135986,175.9646759033203,-175.9646759033203,175.9646759033203
29,3509,179.72361755371094,-179.72361755371094,,,,
30,3626,180.2137451171875,-180.2137451171875,,,,
31,3743,180.91856384277344,-180.91856384277344,,,,
32,3860,181.3583526611328,-181.3583526611328,,,,
33,3977,181.63807678222656,-181.63807678222656,,,,
34,4094,182.0572509765625,-182.0572509765625,,,,
35,4211,182.3834228515625,-182.3834228515625,,,,
36,4328,183.2842254638672,-183.2842254638672,,,,
37,4445,183.74574279785156,-183.74574279785156,,,,
38,4562,184.09335327148438,-184.09335327148438,,,,
39,4679,,,4.254356861114502,180.31985473632812,-180.31985473632812,180.31985473632812
39,4679,184.41139221191406,-184.41139221191406,,,,
40,4796,184.88693237304688,-184.88693237304688,,,,
41,4913,184.9766082763672,-184.9766082763672,,,,
42,5030,185.50071716308594,-185.50071716308594,,,,
43,5147,185.78164672851562,-185.78164672851562,,,,
44,5264,186.03553771972656,-186.03553771972656,,,,
45,5381,185.88475036621094,-185.88475036621094,,,,
46,5498,186.47598266601562,-186.47598266601562,,,,
47,5615,186.56837463378906,-186.56837463378906,,,,
48,5732,186.98501586914062,-186.98501586914062,,,,
49,5849,,,4.246287822723389,181.61383056640625,-181.61383056640625,181.61383056640625
49,5849,187.04794311523438,-187.04794311523438,,,,
50,5966,187.5990447998047,-187.5990447998047,,,,
51,6083,187.85003662109375,-187.85003662109375,,,,
52,6200,188.11805725097656,-188.11805725097656,,,,
53,6317,188.43594360351562,-188.43594360351562,,,,
54,6434,188.74270629882812,-188.74270629882812,,,,
55,6551,188.96450805664062,-188.96450805664062,,,,
56,6668,189.1350555419922,-189.1350555419922,,,,
57,6785,189.07589721679688,-189.07589721679688,,,,
58,6902,189.7550506591797,-189.7550506591797,,,,
59,7019,,,4.169215202331543,185.01329040527344,-185.01329040527344,185.01329040527344
59,7019,189.53225708007812,-189.53225708007812,,,,
60,7136,190.00674438476562,-190.00674438476562,,,,
61,7253,189.74783325195312,-189.74783325195312,,,,
62,7370,190.1802978515625,-190.1802978515625,,,,
