epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
0,116,86.21244812011719,-86.21244812011719,,,,
1,233,124.93607330322266,-124.93607330322266,,,,
2,350,151.3727569580078,-151.3727569580078,,,,
3,467,165.1057586669922,-165.1057586669922,,,,
4,584,173.5890350341797,-173.5890350341797,,,,
5,701,179.62802124023438,-179.62802124023438,,,,
6,818,184.08480834960938,-184.08480834960938,,,,
7,935,189.870361328125,-189.870361328125,,,,
8,1052,193.46917724609375,-193.46917724609375,,,,
9,1169,,,5.435929775238037,195.99948120117188,-195.99948120117188,195.99948120117188
9,1169,197.61984252929688,-197.61984252929688,,,,
10,1286,202.2454833984375,-202.2454833984375,,,,
11,1403,206.94677734375,-206.94677734375,,,,
12,1520,210.7244873046875,-210.7244873046875,,,,
13,1637,214.61822509765625,-214.61822509765625,,,,
14,1754,218.26300048828125,-218.26300048828125,,,,
15,1871,221.87451171875,-221.87451171875,,,,
16,1988,224.48912048339844,-224.48912048339844,,,,
17,2105,227.63900756835938,-227.63900756835938,,,,
18,2222,230.54759216308594,-230.54759216308594,,,,
19,2339,,,4.716363906860352,229.41845703125,-229.41845703125,229.41845703125
19,2339,232.43214416503906,-232.43214416503906,,,,
20,2456,234.8798065185547,-234.8798065185547,,,,
21,2573,236.90719604492188,-236.90719604492188,,,,
22,2690,238.1541748046875,-238.1541748046875,,,,
23,2807,239.75660705566406,-239.75660705566406,,,,
24,2924,242.36448669433594,-242.36448669433594,,,,
25,3041,244.3898162841797,-244.3898162841797,,,,
26,3158,245.2139892578125,-245.2139892578125,,,,
27,3275,246.48667907714844,-246.48667907714844,,,,
28,3392,247.55320739746094,-247.55320739746094,,,,
29,3509,,,4.4984235763549805,244.4978485107422,-244.4978485107422,244.4978485107422
29,3509,248.90737915039062,-248.90737915039062,,,,
30,3626,250.2748565673828,-250.2748565673828,,,,
31,3743,250.925537109375,-250.925537109375,,,,
32,3860,252.44113159179688,-252.44113159179688,,,,
