epoch,step,train/flat_trace_score,train/loss,val/closure_defect_frobenius,val/flat_trace_score,val/loss,val_score
0,116,59.24897003173828,-59.24897003173828,,,,
1,233,64.68190002441406,-64.68190002441406,,,,
2,350,66.83419036865234,-66.83419036865234,,,,
3,467,69.43540954589844,-69.43540954589844,,,,
4,584,72.63262176513672,-72.63262176513672,,,,
5,701,75.55352783203125,-75.55352783203125,,,,
6,818,78.12227630615234,-78.12227630615234,,,,
7,935,80.320068359375,-80.320068359375,,,,
8,1052,81.78416442871094,-81.78416442871094,,,,
9,1169,,,4.460324764251709,82.665283203125,-82.665283203125,82.665283203125
9,1169,82.92527770996094,-82.92527770996094,,,,
10,1286,84.07414245605469,-84.07414245605469,,,,
11,1403,85.4200210571289,-85.4200210571289,,,,
12,1520,86.27437591552734,-86.27437591552734,,,,
13,1637,87.2256851196289,-87.2256851196289,,,,
14,1754,87.82647705078125,-87.82647705078125,,,,
15,1871,88.71743774414062,-88.71743774414062,,,,
16,1988,89.40864562988281,-89.40864562988281,,,,
17,2105,89.83323669433594,-89.83323669433594,,,,
18,2222,90.7481689453125,-90.7481689453125,,,,
19,2339,,,4.657502174377441,90.59174346923828,-90.59174346923828,90.59174346923828
19,2339,91.06732940673828,-91.06732940673828,,,,
20,2456,91.60836029052734,-91.60836029052734,,,,
21,2573,92.32711029052734,-92.32711029052734,,,,
22,2690,92.46607208251953,-92.46607208251953,,,,
23,2807,93.14332580566406,-93.14332580566406,,,,
24,2924,93.1913070678711,-93.1913070678711,,,,
25,3041,93.82555389404297,-93.82555389404297,,,,
26,3158,93.94953918457031,-93.94953918457031,,,,
27,3275,94.39710998535156,-94.39710998535156,,,,
28,3392,94.67290496826172,-94.67290496826172,,,,
29,3509,,,4.743856430053711,94.10484313964844,-94.10484313964844,94.10484313964844
29,3509,94.85948181152344,-94.85948181152344,,,,
30,3626,95.38585662841797,-95.38585662841797,,,,
31,3743,95.54193115234375,-95.54193115234375,,,,
32,3860,95.6356201171875,-95.6356201171875,,,,
33,3977,95.92613983154297,-95.92613983154297,,,,
34,4094,95.99779510498047,-95.99779510498047,,,,
35,4211,96.45209503173828,-96.45209503173828,,,,
36,4328,96.5485610961914,-96.5485610961914,,,,
37,4445,96.8061294555664,-96.8061294555664,,,,
38,4562,97.13990020751953,-97.13990020751953,,,,
39,4679,,,4.7912516593933105,95.99432373046875,-95.99432373046875,95.99432373046875
39,4679,97.14757537841797,-97.14757537841797,,,,
40,4796,97.30516815185547,-97.30516815185547,,,,
41,4913,97.66026306152344,-97.66026306152344,,,,
42,5030,97.7225112915039,-97.7225112915039,,,,
43,5147,97.890869140625,-97.890869140625,,,,
44,5264,97.90396881103516,-97.90396881103516,,,,
45,5381,98.22306060791016,-98.22306060791016,,,,
46,5498,98.42719268798828,-98.42719268798828,,,,
47,5615,98.64849853515625,-98.64849853515625,,,,
48,5732,98.71772003173828,-98.71772003173828,,,,
49,5849,,,4.846324443817139,96.86903381347656,-96.86903381347656,96.86903381347656
49,5849,98.76496887207031,-98.76496887207031,,,,
50,5966,99.16329193115234,-99.16329193115234,,,,
