epoch,step,test/accuracy,test/loss,test/top5_accuracy,train/accuracy,train/loss,train/top5_accuracy,val/accuracy,val/loss,val/top5_accuracy,val_accuracy
0,175,,,,,,,0.798799991607666,0.5675662159919739,0.9914000034332275,0.798799991607666
0,175,,,,0.7577999830245972,0.6943862438201904,0.9810000061988831,,,,
1,351,,,,,,,0.7904000282287598,0.5734489560127258,0.9922000169754028,0.7904000282287598
1,351,,,,0.7842444181442261,0.6083447337150574,0.9891777634620667,,,,
2,527,,,,,,,0.8100000023841858,0.5401486158370972,0.9929999709129333,0.8100000023841858
2,527,,,,0.790066659450531,0.5920348763465881,0.9896000027656555,,,,
3,703,,,,,,,0.8104000091552734,0.5329000949859619,0.9926000237464905,0.8104000091552734
3,703,,,,0.7952888607978821,0.575772225856781,0.9905555844306946,,,,
4,879,,,,,,,0.8112000226974487,0.5404407978057861,0.9919999837875366,0.8112000226974487
4,879,,,,0.7931777834892273,0.5781272053718567,0.990933358669281,,,,
5,1055,,,,,,,0.8090000152587891,0.5399560332298279,0.9908000230789185,0.8090000152587891
5,1055,,,,0.7980666756629944,0.5656086802482605,0.9915111064910889,,,,
6,1231,,,,,,,0.8104000091552734,0.5247659087181091,0.9926000237464905,0.8104000091552734
6,1231,,,,0.7999333143234253,0.5599936246871948,0.9911333322525024,,,,
7,1407,,,,,,,0.8113999962806702,0.5233323574066162,0.9929999709129333,0.8113999962806702
7,1407,,,,0.798799991607666,0.5602794885635376,0.9910888671875,,,,
8,1583,,,,,,,0.8130000233650208,0.5283650159835815,0.9927999973297119,0.8130000233650208
8,1583,,,,0.7993555665016174,0.5590349435806274,0.9914222359657288,,,,
9,1759,,,,,,,0.8122000098228455,0.5205654501914978,0.9927999973297119,0.8122000098228455
9,1759,,,,0.8023333549499512,0.5538737177848816,0.9916444420814514,,,,
10,1935,,,,,,,0.8100000023841858,0.5322035551071167,0.9937999844551086,0.8100000023841858
10,1935,,,,0.8021110892295837,0.5486199259757996,0.9915333390235901,,,,
11,2111,,,,,,,0.807200014591217,0.5337561964988708,0.991599977016449,0.807200014591217
11,2111,,,,0.8051777482032776,0.5440650582313538,0.9918000102043152,,,,
12,2287,,,,,,,0.8167999982833862,0.5217657089233398,0.9919999837875366,0.8167999982833862
12,2287,,,,0.8076444268226624,0.5404506921768188,0.9926000237464905,,,,
13,2463,,,,,,,0.8108000159263611,0.5312037467956543,0.9909999966621399,0.8108000159263611
13,2463,,,,0.8053555488586426,0.544861912727356,0.9918666481971741,,,,
14,2639,,,,,,,0.8062000274658203,0.5355905294418335,0.9926000237464905,0.8062000274658203
14,2639,,,,0.8049111366271973,0.5473343133926392,0.9917555451393127,,,,
15,2815,,,,,,,0.8145999908447266,0.5241209268569946,0.9904000163078308,0.8145999908447266
