epoch,step,train/cross_trace_sum,train/loss,val/closure_defect_frobenius,val/cross_trace_sum,val/loss,val_score
0,370,104.32673645019531,-104.32673645019531,,,,
1,741,159.2702178955078,-159.2702178955078,,,,
2,1112,181.92398071289062,-181.92398071289062,,,,
3,1483,192.7279052734375,-192.7279052734375,,,,
4,1854,201.41183471679688,-201.41183471679688,,,,
5,2225,209.45455932617188,-209.45455932617188,,,,
6,2596,217.1558074951172,-217.1558074951172,,,,
7,2967,224.42724609375,-224.42724609375,,,,
8,3338,231.39620971679688,-231.39620971679688,,,,
9,3709,,,4.71637487411499,236.13450622558594,-236.13450622558594,236.13450622558594
9,3709,237.01840209960938,-237.01840209960938,,,,
10,4080,242.488037109375,-242.488037109375,,,,
11,4451,247.00555419921875,-247.00555419921875,,,,
12,4822,251.2538604736328,-251.2538604736328,,,,
13,5193,254.06703186035156,-254.06703186035156,,,,
14,5564,256.940673828125,-256.940673828125,,,,
15,5935,259.29608154296875,-259.29608154296875,,,,
16,6306,261.5413818359375,-261.5413818359375,,,,
17,6677,263.47869873046875,-263.47869873046875,,,,
18,7048,264.91326904296875,-264.91326904296875,,,,
19,7419,,,4.385188102722168,260.79840087890625,-260.79840087890625,260.79840087890625
19,7419,266.3219909667969,-266.3219909667969,,,,
20,7790,267.5962219238281,-267.5962219238281,,,,
21,8161,269.01715087890625,-269.01715087890625,,,,
22,8532,269.9590148925781,-269.9590148925781,,,,
23,8903,270.86810302734375,-270.86810302734375,,,,
24,9274,271.9904479980469,-271.9904479980469,,,,
25,9645,272.6112060546875,-272.6112060546875,,,,
26,10016,273.61395263671875,-273.61395263671875,,,,
27,10387,274.28802490234375,-274.28802490234375,,,,
28,10758,274.73809814453125,-274.73809814453125,,,,
29,11129,,,4.281337261199951,268.7201232910156,-268.7201232910156,268.7201232910156
29,11129,275.5843505859375,-275.5843505859375,,,,
30,11500,276.28570556640625,-276.28570556640625,,,,
31,11871,276.81658935546875,-276.81658935546875,,,,
32,12242,277.56268310546875,-277.56268310546875,,,,
33,12613,277.9186706542969,-277.9186706542969,,,,
34,12984,278.4480285644531,-278.4480285644531,,,,
35,13355,279.0197448730469,-279.0197448730469,,,,
36,13726,279.5548400878906,-279.5548400878906,,,,
37,14097,279.8739013671875,-279.8739013671875,,,,
38,14468,280.4861755371094,-280.4861755371094,,,,
39,14839,,,4.254635810852051,273.8369140625,-273.8369140625,273.8369140625
39,14839,280.7176208496094,-280.7176208496094,,,,
40,15210,281.46173095703125,-281.46173095703125,,,,
41,15581,281.6070861816406,-281.6070861816406,,,,
42,15952,282.23004150390625,-282.23004150390625,,,,
43,16323,282.53607177734375,-282.53607177734375,,,,
44,16694,282.836181640625,-282.836181640625,,,,
45,17065,283.15350341796875,-283.15350341796875,,,,
46,17436,283.6221618652344,-283.6221618652344,,,,
47,17807,283.8913879394531,-283.8913879394531,,,,
48,18178,284.0452575683594,-284.0452575683594,,,,
49,18549,,,4.185694694519043,278.1477966308594,-278.1477966308594,278.1477966308594
49,18549,284.4429931640625,-284.4429931640625,,,,
50,18920,284.8401184082031,-284.8401184082031,,,,
51,19291,285.2132873535156,-285.2132873535156,,,,
52,19662,285.71734619140625,-285.71734619140625,,,,
53,20033,286.08197021484375,-286.08197021484375,,,,
54,20404,286.1742858886719,-286.1742858886719,,,,
55,20775,286.4587097167969,-286.4587097167969,,,,
56,21146,286.75994873046875,-286.75994873046875,,,,
57,21517,287.1600646972656,-287.1600646972656,,,,
