epoch,step,train/flat_trace_score,train/loss,val/closure_defect_frobenius,val/flat_trace_score,val/loss,val_score
0,370,23.13614273071289,-23.13614273071289,,,,
1,741,44.5098876953125,-44.5098876953125,,,,
2,1112,55.876258850097656,-55.876258850097656,,,,
3,1483,61.328914642333984,-61.328914642333984,,,,
4,1854,65.84801483154297,-65.84801483154297,,,,
5,2225,69.55681610107422,-69.55681610107422,,,,
6,2596,72.72875213623047,-72.72875213623047,,,,
7,2967,75.26903533935547,-75.26903533935547,,,,
8,3338,77.31769561767578,-77.31769561767578,,,,
9,3709,,,4.919079303741455,77.88384246826172,-77.88384246826172,77.88384246826172
9,3709,78.96199798583984,-78.96199798583984,,,,
10,4080,80.3388442993164,-80.3388442993164,,,,
11,4451,81.72281646728516,-81.72281646728516,,,,
12,4822,82.73406982421875,-82.73406982421875,,,,
13,5193,83.64053344726562,-83.64053344726562,,,,
14,5564,84.37623596191406,-84.37623596191406,,,,
15,5935,84.90670776367188,-84.90670776367188,,,,
16,6306,85.48472595214844,-85.48472595214844,,,,
17,6677,86.01305389404297,-86.01305389404297,,,,
18,7048,86.40251922607422,-86.40251922607422,,,,
19,7419,,,4.969723224639893,82.96086883544922,-82.96086883544922,82.96086883544922
19,7419,86.76921844482422,-86.76921844482422,,,,
20,7790,87.17727661132812,-87.17727661132812,,,,
21,8161,87.49887084960938,-87.49887084960938,,,,
22,8532,87.82196807861328,-87.82196807861328,,,,
23,8903,88.1055679321289,-88.1055679321289,,,,
24,9274,88.34932708740234,-88.34932708740234,,,,
25,9645,88.60960388183594,-88.60960388183594,,,,
26,10016,88.84308624267578,-88.84308624267578,,,,
27,10387,89.03440856933594,-89.03440856933594,,,,
28,10758,89.35539245605469,-89.35539245605469,,,,
29,11129,,,4.988593101501465,87.21690368652344,-87.21690368652344,87.21690368652344
29,11129,89.5063705444336,-89.5063705444336,,,,
30,11500,89.7137451171875,-89.7137451171875,,,,
31,11871,89.94625091552734,-89.94625091552734,,,,
32,12242,90.13727569580078,-90.13727569580078,,,,
33,12613,90.23820495605469,-90.23820495605469,,,,
34,12984,90.53778076171875,-90.53778076171875,,,,
35,13355,90.5637435913086,-90.5637435913086,,,,
36,13726,90.8141860961914,-90.8141860961914,,,,
37,14097,90.92286682128906,-90.92286682128906,,,,
38,14468,91.07225036621094,-91.07225036621094,,,,
39,14839,,,5.009910583496094,88.12162017822266,-88.12162017822266,88.12162017822266
39,14839,91.26605987548828,-91.26605987548828,,,,
40,15210,91.47747802734375,-91.47747802734375,,,,
41,15581,91.55152893066406,-91.55152893066406,,,,
42,15952,91.6642837524414,-91.6642837524414,,,,
43,16323,91.86903381347656,-91.86903381347656,,,,
44,16694,92.0240707397461,-92.0240707397461,,,,
45,17065,92.18079376220703,-92.18079376220703,,,,
46,17436,92.3084487915039,-92.3084487915039,,,,
47,17807,92.45722961425781,-92.45722961425781,,,,
48,18178,92.64353942871094,-92.64353942871094,,,,
49,18549,,,5.002077102661133,87.99560546875,-87.99560546875,87.99560546875
49,18549,92.76880645751953,-92.76880645751953,,,,
50,18920,92.95769500732422,-92.95769500732422,,,,
