epoch,step,test/accuracy,test/loss,test/top5_accuracy,train/accuracy,train/loss,train/top5_accuracy,val/accuracy,val/loss,val/top5_accuracy,val_accuracy
0,175,,,,,,,0.8271999955177307,0.511854350566864,0.9905999898910522,0.8271999955177307
0,175,,,,0.7741777896881104,0.6578091382980347,0.977400004863739,,,,
1,351,,,,,,,0.8306000232696533,0.4873744249343872,0.9923999905586243,0.8306000232696533
1,351,,,,0.8107777833938599,0.5320901274681091,0.9896000027656555,,,,
2,527,,,,,,,0.8348000049591064,0.4747105538845062,0.9926000237464905,0.8348000049591064
2,527,,,,0.8219333291053772,0.5039418935775757,0.9908888936042786,,,,
3,703,,,,,,,0.8361999988555908,0.4701523780822754,0.9923999905586243,0.8361999988555908
3,703,,,,0.8246444463729858,0.4929426312446594,0.9918222427368164,,,,
4,879,,,,,,,0.8406000137329102,0.45238906145095825,0.993399977684021,0.8406000137329102
4,879,,,,0.8256444334983826,0.4859471321105957,0.9918222427368164,,,,
5,1055,,,,,,,0.8434000015258789,0.4488368034362793,0.9929999709129333,0.8434000015258789
5,1055,,,,0.8277111053466797,0.4819190502166748,0.9918888807296753,,,,
6,1231,,,,,,,0.8407999873161316,0.45910897850990295,0.9909999966621399,0.8407999873161316
6,1231,,,,0.8312666416168213,0.4724019169807434,0.9924888610839844,,,,
7,1407,,,,,,,0.8482000231742859,0.44519102573394775,0.9927999973297119,0.8482000231742859
7,1407,,,,0.8327555656433105,0.46829718351364136,0.9928222298622131,,,,
8,1583,,,,,,,0.84579998254776,0.43314921855926514,0.9918000102043152,0.84579998254776
8,1583,,,,0.834933340549469,0.462514191865921,0.9924888610839844,,,,
9,1759,,,,,,,0.8471999764442444,0.43141910433769226,0.9922000169754028,0.8471999764442444
9,1759,,,,0.8323777914047241,0.4672795236110687,0.9926000237464905,,,,
10,1935,,,,,,,0.840399980545044,0.4379170835018158,0.9929999709129333,0.840399980545044
10,1935,,,,0.8370888829231262,0.45732030272483826,0.9929111003875732,,,,
11,2111,,,,,,,0.8432000279426575,0.4353727400302887,0.9929999709129333,0.8432000279426575
11,2111,,,,0.8376222252845764,0.45763492584228516,0.9928222298622131,,,,
12,2287,,,,,,,0.8500000238418579,0.42543086409568787,0.9926000237464905,0.8500000238418579
12,2287,,,,0.8376666903495789,0.4550067186355591,0.9926000237464905,,,,
13,2463,,,,,,,0.8511999845504761,0.4345909655094147,0.9926000237464905,0.8511999845504761
13,2463,,,,0.837422251701355,0.4532189667224884,0.9936444163322449,,,,
14,2639,,,,,,,0.8411999940872192,0.44581469893455505,0.9914000034332275,0.8411999940872192
14,2639,,,,0.837422251701355,0.4506693482398987,0.9934666752815247,,,,
15,2815,,,,,,,0.8529999852180481,0.41784071922302246,0.9940000176429749,0.8529999852180481
15,2815,,,,0.8404666781425476,0.44872763752937317,0.9932222366333008,,,,
16,2991,,,,,,,0.8435999751091003,0.4299268424510956,0.9929999709129333,0.8435999751091003
16,2991,,,,0.8403777480125427,0.4476737082004547,0.992888867855072,,,,
17,3167,,,,,,,0.853600025177002,0.41957592964172363,0.9932000041007996,0.853600025177002
17,3167,,,,0.8396666646003723,0.44823935627937317,0.9933778047561646,,,,
18,3343,,,,,,,0.850600004196167,0.41676825284957886,0.9927999973297119,0.850600004196167
18,3343,,,,0.8406000137329102,0.44461068511009216,0.9939333200454712,,,,
19,3519,,,,,,,0.8560000061988831,0.41407856345176697,0.9936000108718872,0.8560000061988831
19,3519,,,,0.8427333235740662,0.4416123330593109,0.9933555722236633,,,,
20,3695,,,,,,,0.8560000061988831,0.4160543382167816,0.9932000041007996,0.8560000061988831
20,3695,,,,0.8435333371162415,0.4410855174064636,0.9933778047561646,,,,
