family,samples,replicates,spectrum_mae_median,spectrum_relative_l1_median,top_projector_error_median,density_ratio_weighted_rmse_median,oracle_truncation_density_ratio_weighted_rmse_median,density_ratio_excess_rmse_median
asymmetric_cycle,500,20,0.23851148538334271,0.3711278299533335,0.3170650780135137,2.509421093244955,2.456635889794061,0.05278520345089399
asymmetric_cycle,2000,20,0.07210920976595776,0.11220312722918721,0.12482173394635779,2.4632384107967127,2.456635889794061,0.0066025210026519066
asymmetric_cycle,10000,20,0.015980954662313043,0.024866630698619843,0.04984369911367423,2.457508994643975,2.456635889794061,0.000873104849913986
block,500,20,0.022837634858435804,0.19736227655438365,0.07774688864580558,0.25458526571093687,6.860825864794944e-16,0.2545852657109362
block,2000,20,0.005922699469752029,0.05118382257810399,0.034913055593679604,0.13355399031053122,6.860825864794944e-16,0.13355399031053056
block,10000,20,0.0013472441553742903,0.011642850725456838,0.01877515134458494,0.06129173883244088,6.860825864794944e-16,0.06129173883244019
near_identity,500,20,0.3620515874452799,0.36990071624365206,0.016375611592837465,3.326983554203373,3.281247459258276,0.04573609494509756
near_identity,2000,20,0.11499855241258913,0.11749167350586201,0.01077943364150006,3.2888254031787785,3.281247459258276,0.007577943920502372
near_identity,10000,20,0.02509454485636161,0.025638584218553,0.004755449696602177,3.2816106200634136,3.281247459258276,0.0003631608051377633
near_independent,500,20,0.01924316201698728,192.43162016987299,0.016520294655163567,0.44186098085433084,0.033166247903554,0.40869473295077685
near_independent,2000,20,0.006849517379775101,68.4951737977511,0.01033947849199167,0.2621984334474189,0.033166247903554,0.2290321855438649
near_independent,10000,20,0.001416783493391227,14.167834933912285,0.004504939762888854,0.12042814665585223,0.033166247903554,0.08726189875229824
