dimension,samples,spectrum_mae_median,top_projector_error_median,conditions
1,256,0.010130047159159494,0.0,60
1,1024,0.004033116340968701,0.0,60
1,4096,0.0024028901278537185,0.0,60
2,256,0.0216735982350173,1.229186872069067e-16,120
2,1024,0.011696517565045823,1.241726000650146e-16,120
2,4096,0.004942061479630536,1.242484576418555e-16,120
5,256,0.018852606933776245,3.536693161531492e-16,60
5,1024,0.00834521575600792,3.541686834618976e-16,60
5,4096,0.004592592359747159,3.6326767347288905e-16,60
5,20000,0.0021030227032102673,3.8170188025325874e-16,60
10,256,0.030285438667893644,0.1577787712542094,120
10,1024,0.01421600882057136,0.08606514836686671,120
10,4096,0.007306409660140808,0.041345396273913135,120
10,20000,0.003274205829853738,0.01737578630512314,120
20,256,0.018167619051546686,0.44802258337881107,120
20,1024,0.004997536430494973,0.19456975912851926,120
20,4096,0.0016712805750939204,0.10100590590836836,120
20,20000,0.0005529473697194671,0.04916451884047384,120
50,256,0.03525816488501135,0.7482999175588265,60
50,1024,0.0107749062578176,0.5929868083671315,60
50,4096,0.004170502708792108,0.4065661932427979,60
50,20000,0.0020814159894369214,0.18787329251658275,60
100,256,0.09503488749626793,0.9060805471531302,60
100,1024,0.023835147600945412,0.5993319386022898,60
100,4096,0.0059348113826041375,0.32556716341067576,60
100,20000,0.0012472986438652684,0.13308113635259172,60
